date,COVID,vaccine
2020-01-22,0.0,4.0
2020-01-23,0.0,3.0
2020-01-24,0.0,3.0
2020-01-25,0.0,3.0
2020-01-26,0.0,3.0
2020-01-27,0.0,4.0
2020-01-28,0.0,4.0
2020-01-29,0.0,4.0
2020-01-30,0.0,4.0
2020-01-31,0.0,4.0
2020-02-01,0.0,3.0
2020-02-02,0.0,3.0
2020-02-03,0.0,4.0
2020-02-04,0.0,4.0
2020-02-05,0.0,4.0
2020-02-06,0.0,4.0
2020-02-07,0.0,4.0
2020-02-08,0.0,3.0
2020-02-09,0.0,3.0
2020-02-10,0.0,3.0
2020-02-11,0.0,4.0
2020-02-12,1.0,4.0
2020-02-13,1.0,4.0
2020-02-14,1.0,3.0
2020-02-15,1.0,3.0
2020-02-16,1.0,2.0
2020-02-17,1.0,3.0
2020-02-18,1.0,3.0
2020-02-19,1.0,3.0
2020-02-20,1.0,4.0
2020-02-21,1.0,3.0
2020-02-22,2.0,3.0
2020-02-23,2.0,3.0
2020-02-24,3.0,4.0
2020-02-25,3.0,6.0
2020-02-26,4.0,6.0
2020-02-27,5.0,6.0
2020-02-28,5.0,6.0
2020-02-29,5.0,5.0
2020-03-01,5.0,5.0
2020-03-02,7.0,7.0
2020-03-03,7.0,7.0
2020-03-04,8.0,6.0
2020-03-05,9.0,7.0
2020-03-06,11.0,6.0
2020-03-07,11.0,5.0
2020-03-08,12.0,5.0
2020-03-09,17.0,7.0
2020-03-10,20.0,7.0
2020-03-11,26.0,8.0
2020-03-12,42.0,13.0
2020-03-13,49.0,16.0
2020-03-14,46.0,13.0
2020-03-15,57.0,13.0
2020-03-16,70.0,18.0
2020-03-17,75.0,17.0
2020-03-18,75.0,16.0
2020-03-19,78.0,14.0
2020-03-20,81.0,12.0
2020-03-21,84.0,11.0
2020-03-22,94.0,13.0
2020-03-23,100.0,18.0
2020-03-24,95.0,15.0
2020-03-25,96.0,11.0
2020-03-26,92.0,11.0
2020-03-27,98.0,11.0
2020-03-28,98.0,11.0
2020-03-29,94.0,12.0
2020-03-30,92.0,11.0
2020-03-31,90.0,10.0
2020-04-01,94.0,11.0
2020-04-02,93.0,11.0
2020-04-03,92.0,12.0
2020-04-04,90.0,12.0
2020-04-05,88.0,12.0
2020-04-06,92.0,10.0
2020-04-07,86.0,10.0
2020-04-08,84.0,9.0
2020-04-09,81.0,10.0
2020-04-10,81.0,10.0
2020-04-11,75.0,9.0
2020-04-12,71.0,9.0
2020-04-13,81.0,10.0
2020-04-14,77.0,10.0
2020-04-15,81.0,9.0
2020-04-16,80.0,10.0
2020-04-17,83.0,10.0
2020-04-18,74.0,9.0
2020-04-19,71.0,9.0
2020-04-20,73.0,8.0
2020-04-21,73.0,9.0
2020-04-22,71.0,13.0
2020-04-23,70.0,12.0
2020-04-24,67.0,11.0
2020-04-25,63.0,11.0
2020-04-26,65.0,11.0
2020-04-27,70.0,10.0
2020-04-28,71.0,9.0
2020-04-29,69.0,11.0
2020-04-30,68.0,11.0
2020-05-01,67.0,10.0
2020-05-02,62.0,9.0
2020-05-03,65.0,10.0
2020-05-04,66.0,9.0
2020-05-05,65.0,12.0
2020-05-06,66.0,18.0
2020-05-07,63.0,13.0
2020-05-08,62.0,11.0
2020-05-09,60.0,10.0
2020-05-10,58.0,10.0
2020-05-11,64.0,10.0
2020-05-12,65.0,10.0
2020-05-13,63.0,9.0
2020-05-14,63.0,10.0
2020-05-15,59.0,11.0
2020-05-16,57.0,10.0
2020-05-17,58.0,10.0
2020-05-18,60.0,14.0
2020-05-19,60.0,14.0
2020-05-20,58.0,10.0
2020-05-21,60.0,10.0
2020-05-22,56.0,10.0
2020-05-23,52.0,9.0
2020-05-24,52.0,9.0
2020-05-25,55.0,8.0
2020-05-26,59.0,8.0
2020-05-27,57.0,8.0
2020-05-28,54.0,8.0
2020-05-29,54.0,7.0
2020-05-30,47.0,7.0
2020-05-31,47.0,7.0
2020-06-01,51.0,7.0
2020-06-02,51.0,7.0
2020-06-03,50.0,7.0
2020-06-04,50.0,7.0
2020-06-05,49.0,7.0
2020-06-06,46.0,7.0
2020-06-07,47.0,8.0
2020-06-08,51.0,8.0
2020-06-09,50.0,7.0
2020-06-10,50.0,8.0
2020-06-11,49.0,8.0
2020-06-12,50.0,8.0
2020-06-13,47.0,8.0
2020-06-14,46.0,8.0
2020-06-15,53.0,8.0
2020-06-16,52.0,10.0
2020-06-17,53.0,8.0
2020-06-18,51.0,8.0
2020-06-19,54.0,7.0
2020-06-20,51.0,8.0
2020-06-21,48.0,8.0
2020-06-22,58.0,8.0
2020-06-23,55.0,10.0
2020-06-24,57.0,9.0
2020-06-25,60.0,9.0
2020-06-26,62.0,8.0
2020-06-27,56.0,8.0
2020-06-28,57.0,8.0
2020-06-29,63.0,9.0
2020-06-30,62.0,10.0
2020-07-01,61.0,9.0
2020-07-02,61.0,10.0
2020-07-03,57.0,12.0
2020-07-04,52.0,10.0
2020-07-05,53.0,10.0
2020-07-06,61.0,10.0
2020-07-07,64.0,10.0
2020-07-08,62.0,10.0
2020-07-09,60.0,10.0
2020-07-10,59.0,10.0
2020-07-11,56.0,9.0
2020-07-12,59.0,14.0
2020-07-13,66.0,19.0
2020-07-14,68.0,15.0
2020-07-15,65.0,17.0
2020-07-16,64.0,16.0
2020-07-17,67.0,14.0
2020-07-18,57.0,12.0
2020-07-19,58.0,12.0
2020-07-20,63.0,19.0
2020-07-21,62.0,16.0
2020-07-22,61.0,13.0
2020-07-23,59.0,12.0
2020-07-24,59.0,11.0
2020-07-25,54.0,10.0
2020-07-26,54.0,10.0
2020-07-27,64.0,12.0
2020-07-28,66.0,12.0
2020-07-29,64.0,11.0
2020-07-30,64.0,11.0
2020-07-31,64.0,12.0
2020-08-01,57.0,11.0
2020-08-02,57.0,11.0
2020-08-03,62.0,11.0
2020-08-04,60.0,11.0
2020-08-05,62.0,10.0
2020-08-06,56.0,10.0
2020-08-07,54.0,10.0
2020-08-08,50.0,11.0
2020-08-09,51.0,12.0
2020-08-10,55.0,13.0
2020-08-11,57.0,31.0
2020-08-12,56.0,21.0
2020-08-13,56.0,15.0
2020-08-14,55.0,12.0
2020-08-15,48.0,12.0
2020-08-16,51.0,11.0
2020-08-17,55.0,12.0
2020-08-18,54.0,11.0
2020-08-19,52.0,11.0
2020-08-20,51.0,10.0
2020-08-21,49.0,10.0
2020-08-22,46.0,9.0
2020-08-23,46.0,10.0
2020-08-24,51.0,10.0
2020-08-25,52.0,9.0
2020-08-26,50.0,9.0
2020-08-27,50.0,9.0
2020-08-28,50.0,9.0
2020-08-29,44.0,8.0
2020-08-30,46.0,8.0
2020-08-31,52.0,9.0
2020-09-01,48.0,9.0
2020-09-02,50.0,10.0
2020-09-03,49.0,12.0
2020-09-04,46.0,10.0
2020-09-05,42.0,9.0
2020-09-06,45.0,9.0
2020-09-07,50.0,10.0
2020-09-08,52.0,11.0
2020-09-09,54.0,13.0
2020-09-10,52.0,10.0
2020-09-11,51.0,9.0
2020-09-12,45.0,9.0
2020-09-13,46.0,8.0
2020-09-14,54.0,10.0
2020-09-15,51.0,10.0
2020-09-16,52.0,11.0
2020-09-17,49.0,11.0
2020-09-18,51.0,10.0
2020-09-19,44.0,8.0
2020-09-20,44.0,8.0
2020-09-21,51.0,9.0
2020-09-22,53.0,10.0
2020-09-23,54.0,10.0
2020-09-24,56.0,10.0
2020-09-25,49.0,9.0
2020-09-26,45.0,8.0
2020-09-27,44.0,8.0
2020-09-28,52.0,9.0
2020-09-29,52.0,10.0
2020-09-30,47.0,10.0
2020-10-01,48.0,9.0
2020-10-02,73.0,9.0
2020-10-03,57.0,7.0
2020-10-04,52.0,7.0
2020-10-05,59.0,9.0
2020-10-06,57.0,9.0
2020-10-07,54.0,9.0
2020-10-08,56.0,9.0
2020-10-09,53.0,9.0
2020-10-10,48.0,8.0
2020-10-11,48.0,8.0
2020-10-12,58.0,9.0
2020-10-13,57.0,10.0
2020-10-14,58.0,9.0
2020-10-15,59.0,9.0
2020-10-16,59.0,9.0
2020-10-17,50.0,8.0
2020-10-18,49.0,9.0
2020-10-19,59.0,9.0
2020-10-20,57.0,9.0
2020-10-21,58.0,9.0
2020-10-22,65.0,9.0
2020-10-23,64.0,10.0
2020-10-24,54.0,8.0
2020-10-25,54.0,7.0
2020-10-26,65.0,9.0
2020-10-27,62.0,10.0
2020-10-28,68.0,9.0
2020-10-29,75.0,9.0
2020-10-30,76.0,8.0
2020-10-31,63.0,7.0
2020-11-01,60.0,8.0
2020-11-02,67.0,8.0
2020-11-03,60.0,8.0
2020-11-04,53.0,6.0
2020-11-05,57.0,7.0
2020-11-06,57.0,7.0
2020-11-07,58.0,7.0
2020-11-08,55.0,7.0
2020-11-09,69.0,34.0
2020-11-10,66.0,25.0
2020-11-11,66.0,18.0
2020-11-12,72.0,15.0
2020-11-13,71.0,15.0
2020-11-14,68.0,13.0
2020-11-15,64.0,12.0
2020-11-16,76.0,22.0
2020-11-17,76.0,18.0
2020-11-18,75.0,18.0
2020-11-19,72.0,17.0
2020-11-20,73.0,16.0
2020-11-21,65.0,14.0
2020-11-22,63.0,13.0
2020-11-23,71.0,18.0
2020-11-24,69.0,16.0
2020-11-25,64.0,14.0
2020-11-26,60.0,13.0
2020-11-27,57.0,11.0
2020-11-28,58.0,13.0
2020-11-29,56.0,13.0
2020-11-30,62.0,16.0
2020-12-01,61.0,16.0
2020-12-02,62.0,29.0
2020-12-03,66.0,24.0
2020-12-04,63.0,22.0
2020-12-05,59.0,20.0
2020-12-06,58.0,19.0
2020-12-07,65.0,23.0
2020-12-08,65.0,32.0
2020-12-09,67.0,37.0
2020-12-10,69.0,34.0
2020-12-11,66.0,31.0
2020-12-12,61.0,33.0
2020-12-13,59.0,29.0
2020-12-14,67.0,38.0
2020-12-15,65.0,36.0
2020-12-16,66.0,32.0
2020-12-17,70.0,33.0
2020-12-18,73.0,39.0
2020-12-19,75.0,38.0
2020-12-20,76.0,33.0
2020-12-21,85.0,36.0
2020-12-22,77.0,34.0
2020-12-23,74.0,31.0
2020-12-24,59.0,25.0
2020-12-25,52.0,20.0
2020-12-26,61.0,23.0
2020-12-27,64.0,27.0
2020-12-28,74.0,31.0
2020-12-29,74.0,37.0
2020-12-30,83.0,48.0
2020-12-31,71.0,39.0
2021-01-01,68.0,35.0
2021-01-02,68.0,33.0
2021-01-03,71.0,35.0
2021-01-04,83.0,45.0
2021-01-05,81.0,49.0
2021-01-06,73.0,45.0
2021-01-07,73.0,44.0
2021-01-08,79.0,49.0
2021-01-09,67.0,43.0
2021-01-10,65.0,40.0
2021-01-11,76.0,54.0
2021-01-12,77.0,60.0
2021-01-13,79.0,65.0
2021-01-14,84.0,72.0
2021-01-15,79.0,69.0
2021-01-16,68.0,63.0
2021-01-17,65.0,56.0
2021-01-18,74.0,61.0
2021-01-19,75.0,66.0
2021-01-20,70.0,57.0
2021-01-21,71.0,60.0
2021-01-22,71.0,63.0
2021-01-23,64.0,56.0
2021-01-24,61.0,50.0
2021-01-25,71.0,60.0
2021-01-26,71.0,63.0
2021-01-27,71.0,63.0
2021-01-28,71.0,60.0
2021-01-29,70.0,65.0
2021-01-30,62.0,54.0
2021-01-31,60.0,48.0
2021-02-01,65.0,54.0
2021-02-02,65.0,59.0
2021-02-03,67.0,63.0
2021-02-04,65.0,60.0
2021-02-05,61.0,61.0
2021-02-06,54.0,51.0
2021-02-07,50.0,44.0
2021-02-08,63.0,53.0
2021-02-09,60.0,59.0
2021-02-10,62.0,61.0
2021-02-11,60.0,66.0
2021-02-12,59.0,65.0
2021-02-13,52.0,53.0
2021-02-14,51.0,48.0
2021-02-15,59.0,58.0
2021-02-16,55.0,55.0
2021-02-17,59.0,56.0
2021-02-18,56.0,56.0
2021-02-19,57.0,56.0
2021-02-20,48.0,48.0
2021-02-21,52.0,49.0
2021-02-22,63.0,60.0
2021-02-23,61.0,62.0
2021-02-24,63.0,70.0
2021-02-25,62.0,69.0
2021-02-26,64.0,73.0
2021-02-27,57.0,65.0
2021-02-28,56.0,61.0
2021-03-01,63.0,78.0
2021-03-02,65.0,80.0
2021-03-03,67.0,87.0
2021-03-04,67.0,86.0
2021-03-05,65.0,86.0
2021-03-06,59.0,77.0
2021-03-07,57.0,70.0
2021-03-08,65.0,83.0
2021-03-09,68.0,93.0
2021-03-10,67.0,96.0
2021-03-11,72.0,99.0
2021-03-12,71.0,100.0
2021-03-13,65.0,83.0
2021-03-14,59.0,78.0
2021-03-15,67.0,94.0
2021-03-16,68.0,97.0
